market_type,n,yes_rate,avg_volume
weekly_above,2254,0.46938775510204084,7800.44933251373
weekly_range,1892,0.08139534883720931,5697.806783602977
daily_close_above,1250,0.4624,8400.441458068859
daily_updown,1124,0.4884341637010676,13585.664232006757
monthly_above,542,0.4059040590405904,18078.842443372694
monthly_hit,402,0.3407960199004975,27996.410080863185
monthly_dip,285,0.3684210526315789,23360.32673668772
yearly_range,67,0.1044776119402985,22819.47316746269
